,State,County,"Population estimates, July 1, 2019,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2018,  (V2018)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Housing units in multi-unit structures, percent, 2009-2013","Building permits, 2018","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2017","Total employment, 2017","Total annual payroll, 2017 ($1,000)","Total employment, percent change, 2016-2017","Total nonemployer establishments, 2017","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Black-owned firms, percent, 2007","American Indian- and Alaska Native-owned firms, percent, 2007","Asian-owned firms, percent, 2007","Native Hawaiian- and Other Pacific Islander-owned firms, percent, 2007","Hispanic-owned firms, percent, 2007","Women-owned firms, percent, 2007","Population per square mile, 2010","Land area in square miles, 2010",full_name,fips_code
254,COLORADO,CONEJOS COUNTY,"8,200",-0.7%,"8,256","8,256",6.5%,25.9%,19.3%,49.8%,91.7%,0.9%,4.0%,1.0%,0.2%,2.2%,51.7%,45.3%,524,2.5%,"4,449",79.7%,"$117,600",$936,$279,$533,5.7%,22,"3,068",2.63,90.8%,29.9%,72.7%,63.0%,86.6%,20.2%,12.7%,10.7%,52.8%,44.7%,"3,949","17,094",,"4,603","35,930","$4,342",22.0,"$34,746","$19,545",21.4%,116,788,"26,087",7.1%,639,758,439,197,385,353,52,646,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,6.4,"1,287.39","CONEJOS COUNTY, COLORADO",08021
255,COLORADO,COSTILLA COUNTY,"3,828",8.6%,"3,524","3,524",4.5%,18.9%,27.3%,48.2%,88.2%,2.0%,5.3%,1.5%,0.3%,2.7%,60.3%,34.9%,393,9.8%,"2,870",70.5%,"$113,200",$916,$299,$612,2.4%,,"1,687",2.19,86.8%,48.6%,68.3%,59.0%,78.5%,19.1%,20.6%,14.9%,46.4%,40.0%,,"1,650",,,"11,670","$3,247",21.7,"$30,593","$20,715",25.2%,46,320,"9,085",13.1%,270,235,82,95,128,93,,180,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.9,"1,226.95","COSTILLA COUNTY, COLORADO",08023
256,COLORADO,CROWLEY COUNTY,"5,858",0.6%,"5,823","5,823",2.5%,11.7%,13.7%,26.8%,82.4%,10.7%,3.5%,1.2%,,2.2%,31.2%,54.0%,500,4.7%,"1,593",72.4%,"$71,700",$932,$326,$815,5.7%,1,"1,194",3.72,89.0%,12.8%,83.1%,75.0%,84.8%,9.6%,16.0%,11.1%,43.4%,52.1%,759,,,,"16,987","$3,166",20.7,"$37,586","$14,988",44.3%,31,508,"18,507",-1.9%,181,247,128,94,,211,,231,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,7.4,787.42,"CROWLEY COUNTY, COLORADO",08025
257,COLORADO,CUSTER COUNTY,"4,954",16.4%,"4,255","4,255",3.3%,13.8%,32.2%,48.4%,94.5%,1.5%,1.2%,0.5%,,2.3%,5.5%,89.9%,777,2.6%,"4,426",85.3%,"$262,200","$1,428",$352,$644,5.1%,77,"2,083",2.22,89.8%,6.4%,93.4%,82.7%,93.0%,36.9%,11.5%,12.6%,38.4%,29.6%,"3,179",,,403,"48,594","$11,437",25.8,"$44,644","$26,976",12.0%,139,524,"16,406",-7.9%,707,633,282,142,,614,48,485,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,5.8,738.63,"CUSTER COUNTY, COLORADO",08027
258,COLORADO,DELTA COUNTY,"30,953",0.0%,"30,952","30,952",4.9%,20.0%,25.9%,49.9%,94.9%,0.8%,1.3%,0.8%,0.1%,2.0%,15.4%,81.1%,"3,178",4.3%,"14,839",71.0%,"$219,000","$1,233",$365,$851,5.7%,48,"11,882",2.45,87.9%,10.2%,82.4%,71.1%,90.4%,21.2%,10.9%,10.7%,47.9%,44.5%,"27,158","115,697","168,059","47,197","309,801","$10,180",25.3,"$44,512","$24,886",14.6%,824,"6,950","217,010",6.7%,"2,963","3,114","1,556",985,187,"2,790",281,"2,675",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,27.1,"1,142.05","DELTA COUNTY, COLORADO",08029
259,COLORADO,DENVER COUNTY,"716,492",19.5%,"599,815","600,158",6.0%,19.5%,11.8%,49.8%,80.8%,9.8%,1.8%,4.1%,0.2%,3.3%,29.7%,54.5%,"29,648",15.6%,"330,862",49.6%,"$357,300","$1,707",$470,"$1,217",45.7%,"7,878","294,358",2.31,79.0%,26.5%,91.8%,83.7%,87.1%,47.9%,6.5%,10.7%,71.6%,66.4%,"2,884,852","7,316,892","5,343,892","14,625,818","7,111,416","$11,212",25.4,"$63,793","$41,196",11.7%,"25,694","444,646","28,205,532",1.1%,"72,409","79,097","41,776","28,725","18,049","57,077","6,329","67,981",4.3%,1.1%,3.7%,0.0%,8.7%,30.2%,"3,922.6",153.00,"DENVER COUNTY, COLORADO",08031
260,COLORADO,DOLORES COUNTY,"2,074",0.5%,"2,064","2,064",3.5%,20.0%,25.1%,47.4%,93.5%,0.4%,3.2%,0.2%,0.1%,2.5%,6.2%,87.9%,170,1.0%,"1,737",81.1%,"$115,900",$921,$278,$713,1.8%,1,740,2.49,85.8%,2.0%,82.4%,64.7%,91.8%,21.3%,11.4%,11.7%,57.9%,53.6%,"2,545",,,,"10,033","$5,032",19.0,"$41,714","$24,505",12.8%,56,274,"11,150",9.6%,163,206,98,64,,199,,193,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.9,"1,067.05","DOLORES COUNTY, COLORADO",08033
261,COLORADO,DOUGLAS COUNTY,"342,776",20.1%,"285,465","285,465",5.9%,26.0%,11.9%,50.1%,90.0%,1.5%,0.5%,5.2%,0.1%,2.7%,9.0%,81.9%,"19,181",7.3%,"128,727",79.0%,"$441,100","$2,195",$595,"$1,655",15.8%,"4,065","117,426",2.79,83.6%,9.2%,98.0%,95.5%,98.0%,57.9%,4.3%,3.8%,72.9%,65.6%,"541,833","1,137,393","460,362","2,701,687","4,308,812","$14,449",27.7,"$115,314","$51,017",2.6%,"9,270","112,808","6,684,094",2.4%,"33,400","30,974","15,633","10,966","3,444","26,276","3,173","26,099",0.0%,0.0%,2.4%,0.0%,3.1%,27.7%,339.7,840.25,"DOUGLAS COUNTY, COLORADO",08035
262,COLORADO,EAGLE COUNTY,"54,993",5.4%,"52,196","52,197",5.6%,21.8%,11.6%,47.0%,94.4%,1.6%,1.4%,1.3%,0.1%,1.3%,29.8%,66.8%,"2,008",18.3%,"32,823",70.6%,"$538,600","$2,139",$592,"$1,507",38.9%,382,"17,750",3.06,87.1%,28.1%,96.3%,88.7%,89.3%,48.1%,3.0%,12.2%,78.8%,72.0%,"477,791","384,106","73,811",,"806,027","$15,538",22.7,"$84,685","$41,064",6.7%,"3,499","32,636","1,335,090",0.8%,"7,299","9,302","5,483","2,584",817,"8,007",738,"8,017",0.0%,1.0%,0.0%,0.0%,3.6%,26.3%,31.0,"1,684.53","EAGLE COUNTY, COLORADO",08037
263,COLORADO,EL PASO COUNTY,"713,856",14.7%,"622,250","622,263",6.7%,24.1%,12.8%,49.5%,83.3%,6.9%,1.4%,3.1%,0.4%,4.9%,17.5%,68.9%,"83,973",6.9%,"275,396",63.8%,"$254,300","$1,554",$435,"$1,119",22.3%,"5,586","253,379",2.64,77.5%,11.9%,93.8%,89.3%,93.7%,37.9%,9.4%,7.6%,62.3%,58.8%,"1,443,157",,"3,375,933","2,563,264","7,929,252","$12,294",23.4,"$65,334","$32,348",9.9%,"17,542","242,125","11,293,550",2.8%,"52,837","54,247","26,903","20,043","8,463","43,351","6,593","44,012",2.5%,0.7%,3.0%,0.1%,4.9%,31.4%,292.6,"2,126.80","EL PASO COUNTY, COLORADO",08041
264,COLORADO,ELBERT COUNTY,"26,282",13.8%,"23,088","23,086",4.7%,21.8%,16.4%,49.5%,94.4%,1.4%,0.8%,1.1%,0.2%,2.0%,7.2%,88.2%,"2,379",2.6%,"9,784",89.7%,"$425,500","$2,124",$530,"$1,038",1.3%,217,"9,046",2.77,87.5%,4.3%,95.0%,89.4%,96.7%,35.9%,6.1%,7.8%,68.2%,62.3%,"9,297","8,194",,,"105,690","$4,520",39.7,"$96,658","$43,349",5.0%,622,"2,595","103,972",3.2%,"2,859","2,585","1,457",800,110,"2,438",257,"2,213",0.0%,0.0%,0.0%,0.0%,0.0%,26.2%,12.5,"1,850.85","ELBERT COUNTY, COLORADO",08039
265,COLORADO,FREMONT COUNTY,"48,021",2.6%,"46,824","46,824",4.3%,16.3%,21.7%,42.3%,91.2%,3.9%,1.8%,1.0%,0.1%,2.0%,13.5%,78.8%,"5,656",2.9%,"19,937",75.0%,"$163,300","$1,153",$339,$805,10.9%,137,"17,163",2.12,86.2%,7.4%,87.3%,79.4%,90.3%,18.2%,13.5%,9.1%,37.6%,47.1%,"39,156","128,343","116,825",,"334,867","$7,157",23.1,"$46,296","$21,965",16.5%,865,"8,218","261,814",5.8%,"2,881","3,152","1,495","1,048",189,"2,757",378,"2,454",0.0%,0.0%,0.0%,0.0%,0.0%,26.2%,30.5,"1,533.07","FREMONT COUNTY, COLORADO",08043
266,COLORADO,GARFIELD COUNTY,"59,770",6.0%,"56,389","56,389",6.9%,25.2%,13.1%,48.9%,93.9%,1.2%,1.7%,0.9%,0.2%,2.0%,28.8%,67.9%,"2,827",14.9%,"24,217",66.9%,"$337,900","$1,756",$461,"$1,215",20.5%,189,"21,138",2.73,86.0%,26.3%,92.7%,83.4%,87.8%,30.0%,5.1%,13.8%,72.7%,65.0%,"161,341",,"41,145",,"950,048","$16,681",32.3,"$72,898","$32,491",8.4%,"2,447","19,717","934,885",-1.5%,"6,386","8,334","4,463","2,513","1,052","6,951",671,"7,244",0.0%,0.6%,0.0%,0.0%,5.7%,25.1%,19.1,"2,947.56","GARFIELD COUNTY, COLORADO",08045
267,COLORADO,GILPIN COUNTY,"6,121",12.3%,"5,453","5,441",3.7%,15.6%,16.9%,47.5%,93.4%,1.2%,1.3%,1.6%,0.2%,2.2%,7.3%,87.3%,754,2.9%,"3,724",80.9%,"$337,400","$1,609",$388,"$1,109",10.6%,41,"2,653",2.19,84.0%,4.4%,96.5%,85.8%,97.6%,38.7%,7.2%,4.3%,73.7%,71.4%,"404,699","4,043",,,"6,398","$1,165",35.6,"$75,120","$48,460",6.7%,125,"4,885","184,324",4.7%,620,395,270,108,74,306,45,336,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,36.3,149.90,"GILPIN COUNTY, COLORADO",08047
268,COLORADO,GRAND COUNTY,"15,525",4.6%,"14,843","14,843",4.1%,16.8%,17.6%,46.4%,95.1%,1.0%,0.9%,0.9%,0.2%,2.0%,9.0%,87.1%,"1,335",8.0%,"16,944",68.8%,"$295,800","$1,470",$402,"$1,010",30.4%,213,"5,823",2.54,81.2%,8.6%,89.9%,87.0%,95.5%,37.8%,3.3%,10.6%,71.2%,66.5%,"84,264","35,900","18,621","4,688","156,063","$10,994",23.5,"$70,469","$34,717",7.9%,843,"8,713","262,610",5.7%,"1,992","2,342","1,159",760,128,"2,139",194,"2,035",0.0%,0.0%,0.0%,0.0%,0.0%,22.5%,8.0,"1,846.33","GRAND COUNTY, COLORADO",08049
269,COLORADO,GUNNISON COUNTY,"17,246",12.5%,"15,324","15,324",4.3%,17.0%,13.0%,46.1%,94.0%,0.7%,2.6%,0.8%,,1.9%,9.4%,87.1%,782,4.4%,"12,073",61.1%,"$339,400","$1,539",$393,"$1,005",28.3%,169,"6,643",2.35,76.1%,10.3%,94.3%,82.8%,97.2%,55.3%,5.4%,10.5%,72.5%,69.0%,"87,010","50,270","9,506","3,456","189,989","$12,277",14.7,"$54,979","$30,127",10.4%,"1,146","6,852","213,287",2.8%,"2,486","3,086","1,537",899,124,"2,803",262,"2,696",0.0%,0.0%,0.0%,0.0%,0.0%,21.3%,4.7,"3,239.10","GUNNISON COUNTY, COLORADO",08051
270,COLORADO,HINSDALE COUNTY,811,-3.8%,843,843,3.9%,15.5%,30.3%,48.5%,94.2%,0.6%,1.4%,0.7%,0.0%,3.1%,6.0%,89.0%,86,1.4%,"1,425",71.6%,"$331,100","$1,283",$441,$732,4.9%,9,387,2.26,91.0%,3.2%,88.6%,68.0%,93.8%,43.9%,18.7%,10.5%,55.7%,52.1%,"4,088",,,,"9,036","$11,156",13.1,"$52,188","$34,644",8.6%,70,116,"4,803",-7.2%,140,188,71,91,,169,,158,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.8,"1,117.25","HINSDALE COUNTY, COLORADO",08053
271,COLORADO,HUERFANO COUNTY,"6,889",2.7%,"6,711","6,711",3.7%,16.3%,31.2%,49.0%,89.0%,1.3%,5.2%,1.0%,0.3%,3.3%,34.0%,61.6%,891,2.8%,"5,294",71.7%,"$157,200","$1,138",$386,$631,7.5%,38,"3,282",1.95,90.0%,10.5%,76.1%,62.2%,91.5%,21.4%,15.0%,7.9%,48.5%,43.2%,"8,985","31,192",,,"62,918","$9,539",24.8,"$36,705","$25,636",21.7%,147,"1,117","36,129",2.3%,594,617,246,204,63,520,66,410,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,4.2,"1,591.00","HUERFANO COUNTY, COLORADO",08055
272,COLORADO,JACKSON COUNTY,"1,399",0.4%,"1,393","1,394",4.9%,17.1%,22.2%,48.2%,95.0%,0.1%,2.6%,0.7%,0.0%,1.5%,12.6%,84.7%,158,6.4%,"1,327",71.3%,"$195,400","$1,316",$309,$675,3.5%,5,575,2.24,89.4%,13.2%,81.9%,75.1%,87.6%,16.8%,3.2%,13.6%,65.1%,54.6%,"2,856",541,,,"16,503","$12,243",29.8,"$48,828","$25,467",13.4%,68,291,"11,646",14.6%,191,313,153,87,,286,,270,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.9,"1,613.72","JACKSON COUNTY, COLORADO",08057
273,COLORADO,JEFFERSON COUNTY,"580,233",8.5%,"534,829","534,543",5.2%,19.7%,16.5%,50.1%,91.7%,1.4%,1.2%,3.1%,0.1%,2.5%,15.5%,78.0%,"38,191",6.6%,"243,009",70.4%,"$366,800","$1,803",$504,"$1,285",25.1%,"2,138","230,153",2.44,84.7%,10.6%,94.0%,88.4%,94.4%,44.1%,6.2%,6.8%,69.4%,64.7%,"1,069,215","2,717,429","6,119,010","3,082,119","7,465,012","$13,688",27.7,"$78,943","$41,930",7.0%,"17,303","198,024","9,306,092",5.4%,"57,319","61,610","32,687","22,451","7,211","52,256","5,904","53,067",0.6%,0.6%,2.7%,0.0%,5.2%,30.2%,699.5,764.21,"JEFFERSON COUNTY, COLORADO",08059
274,COLORADO,KIOWA COUNTY,"1,383",-1.1%,"1,398","1,398",7.9%,22.3%,23.4%,51.3%,96.5%,0.7%,0.9%,0.2%,0.4%,1.4%,8.9%,88.9%,54,0.5%,827,74.7%,"$80,100",$881,$375,$594,5.2%,,593,2.39,88.9%,2.2%,87.2%,82.0%,95.9%,21.5%,7.6%,11.3%,64.0%,56.3%,,,,"20,109","10,218","$7,076",14.3,"$39,784","$24,012",13.8%,35,265,"8,375",19.4%,153,177,120,48,,167,50,119,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.8,"1,767.77","KIOWA COUNTY, COLORADO",08061
275,COLORADO,KIT CARSON COUNTY,"7,163",-13.4%,"8,270","8,270",6.4%,25.4%,19.3%,50.0%,95.3%,0.8%,1.2%,0.7%,0.2%,1.8%,19.0%,77.9%,543,7.8%,"3,566",68.8%,"$140,800","$1,177",$428,$763,11.2%,3,"2,977",2.35,87.8%,14.1%,84.0%,77.9%,88.5%,18.9%,8.1%,14.9%,62.6%,63.8%,"12,804","22,176",,"271,892","114,965","$14,204",11.9,"$51,046","$27,471",12.6%,278,"1,933","67,278",-7.5%,738,779,318,191,44,706,34,666,0.0%,0.0%,0.0%,0.0%,0.0%,39.3%,3.8,"2,160.82","KIT CARSON COUNTY, COLORADO",08063
276,COLORADO,LA PLATA COUNTY,"56,310",9.7%,"51,335","51,334",5.1%,19.0%,17.2%,49.5%,88.4%,0.6%,7.5%,0.8%,0.1%,2.7%,13.0%,78.4%,"3,383",2.8%,"28,267",70.6%,"$375,400","$1,694",$391,"$1,121",17.9%,282,"21,793",2.44,84.3%,10.6%,89.3%,77.1%,95.0%,43.9%,6.1%,11.6%,67.4%,63.2%,"209,229","334,984","84,852","222,287","756,871","$14,444",21.5,"$64,372","$37,864",9.2%,"2,400","22,075","972,661",4.5%,"6,606","7,893","4,244","2,405",605,"6,967",881,"6,549",0.0%,2.2%,0.0%,0.0%,0.0%,25.9%,30.3,"1,692.08","LA PLATA COUNTY, COLORADO",08067
277,COLORADO,LAKE COUNTY,"7,824",7.0%,"7,310","7,310",5.3%,20.0%,14.3%,46.2%,93.0%,1.0%,2.7%,0.7%,0.1%,2.5%,35.9%,60.4%,476,8.6%,"4,431",62.2%,"$214,000","$1,371",$359,$955,12.2%,51,"3,353",2.22,83.5%,18.0%,85.0%,76.4%,85.5%,34.0%,9.2%,11.7%,67.0%,57.5%,"13,108","18,286",,,"37,400","$5,097",29.0,"$46,918","$28,062",12.6%,213,"1,322","36,897",2.4%,659,959,539,236,241,672,62,836,0.0%,0.0%,0.0%,0.0%,0.0%,26.6%,19.4,376.91,"LAKE COUNTY, COLORADO",08065
278,COLORADO,LARIMER COUNTY,"350,518",17.0%,"299,615","299,630",5.1%,19.6%,15.7%,50.1%,92.7%,1.2%,1.0%,2.4%,0.1%,2.6%,11.7%,82.5%,"20,819",5.5%,"151,848",64.6%,"$336,200","$1,675",$454,"$1,228",21.8%,"2,944","133,527",2.46,80.1%,9.4%,95.2%,88.0%,95.8%,46.3%,6.6%,7.4%,67.1%,62.2%,"756,517","1,988,163","4,275,681","5,143,564","4,341,261","$13,982",23.2,"$67,664","$35,390",10.5%,"10,935","126,470","5,789,023",0.5%,"32,721","34,949","18,007","12,116","3,075","30,704","3,222","30,055",0.4%,0.5%,1.8%,0.0%,3.6%,29.7%,115.4,"2,596.00","LARIMER COUNTY, COLORADO",08069
279,COLORADO,LAS ANIMAS COUNTY,"14,503",-6.5%,"15,507","15,507",4.7%,18.8%,24.3%,47.8%,90.3%,2.2%,3.7%,1.2%,0.1%,2.5%,41.2%,53.5%,"1,148",5.5%,"8,577",69.0%,"$147,100","$1,165",$350,$702,10.1%,40,"6,477",2.06,81.6%,14.5%,80.0%,69.2%,87.8%,19.7%,15.4%,12.2%,54.7%,52.6%,"30,919",,"8,981",,"178,940","$11,973",20.4,"$41,945","$25,118",19.2%,369,"3,135","95,607",0.4%,997,"1,362",723,359,306,937,129,"1,126",0.0%,0.0%,0.0%,0.0%,13.0%,25.9%,3.2,"4,772.67","LAS ANIMAS COUNTY, COLORADO",08071
280,COLORADO,LINCOLN COUNTY,"5,610",2.6%,"5,469","5,467",5.4%,20.2%,17.6%,41.6%,89.7%,5.6%,1.5%,1.0%,0.1%,2.1%,14.1%,77.2%,360,4.8%,"2,491",68.4%,"$135,700","$1,153",$385,$808,11.5%,18,"1,520",2.33,91.2%,8.5%,86.4%,77.3%,90.3%,12.8%,7.0%,9.5%,34.4%,60.5%,"9,595","21,287",,,"183,874","$33,720",17.5,"$49,423","$16,219",16.2%,140,"1,361","47,620",0.2%,378,323,149,86,44,257,,247,0.0%,0.0%,0.0%,0.0%,0.0%,29.4%,2.1,"2,577.63","LINCOLN COUNTY, COLORADO",08073
281,COLORADO,LOGAN COUNTY,"21,528",-5.2%,"22,709","22,709",5.3%,18.6%,17.8%,44.1%,91.7%,3.8%,1.7%,1.0%,0.1%,1.6%,16.3%,77.1%,"1,701",4.2%,"9,126",61.8%,"$154,500","$1,132",$422,$744,12.0%,20,"8,183",2.52,76.4%,7.8%,86.7%,80.2%,89.5%,20.5%,8.5%,10.5%,63.6%,58.5%,"26,201","88,294","213,030",,"320,041","$14,142",17.8,"$48,922","$25,776",14.5%,581,"5,131","178,272",-2.8%,"1,355","1,552",894,387,61,"1,355",179,"1,281",0.0%,0.0%,0.0%,0.0%,2.9%,21.9%,12.4,"1,838.55","LOGAN COUNTY, COLORADO",08075
282,COLORADO,MESA COUNTY,"153,207",4.4%,"146,717","146,723",5.7%,21.6%,19.1%,50.6%,94.0%,0.9%,1.5%,1.0%,0.1%,2.4%,14.8%,81.1%,"11,989",3.9%,"67,215",67.2%,"$214,400","$1,302",$346,$934,15.1%,830,"61,033",2.4,80.9%,7.2%,90.4%,83.7%,90.1%,27.4%,9.9%,9.5%,62.6%,57.1%,"282,636","1,028,991","520,620","876,451","2,173,315","$14,700",20.2,"$53,683","$28,518",14.4%,"4,446","52,848","2,228,470",2.6%,"12,082","14,632","7,328","4,788","1,108","12,509","1,391","12,096",0.0%,0.9%,0.0%,0.0%,4.0%,26.7%,44.1,"3,328.97","MESA COUNTY, COLORADO",08077
283,COLORADO,MINERAL COUNTY,776,9.0%,712,712,4.3%,14.8%,31.2%,50.4%,96.3%,0.3%,1.2%,0.5%,0.0%,1.8%,6.4%,90.2%,72,1.0%,"1,284",88.8%,"$293,600","$1,552",$360,$719,0.0%,19,375,2.14,88.7%,3.1%,90.4%,78.4%,96.8%,39.9%,11.2%,9.9%,57.2%,53.7%,"7,854",,,,"13,527","$19,079",13.2,"$61,058","$35,229",9.3%,64,199,"7,971",-13.9%,146,284,66,144,,275,,250,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.8,875.67,"MINERAL COUNTY, COLORADO",08079
284,COLORADO,MOFFAT COUNTY,"13,188",-4.4%,"13,791","13,795",7.1%,25.9%,15.3%,48.7%,94.5%,0.8%,1.6%,0.7%,0.1%,2.3%,15.7%,80.4%,826,7.4%,"6,318",68.0%,"$170,700","$1,285",$383,$777,12.1%,7,"5,210",2.48,80.0%,13.3%,89.9%,79.6%,90.9%,17.1%,7.1%,9.9%,64.6%,56.7%,"20,667","50,270",,,"201,942","$15,299",23.7,"$52,807","$27,845",12.3%,405,"3,235","158,592",0.7%,"1,000","1,282",682,261,57,"1,157",36,"1,161",0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2.9,"4,743.29","MOFFAT COUNTY, COLORADO",08081
285,COLORADO,MONTEZUMA COUNTY,"26,158",2.4%,"25,541","25,535",5.6%,22.0%,22.1%,50.7%,82.1%,0.5%,14.1%,0.7%,0.1%,2.5%,12.7%,72.0%,"2,081",2.3%,"12,407",71.1%,"$208,300","$1,276",$351,$762,8.4%,19,"10,615",2.42,86.1%,10.8%,85.0%,68.4%,89.5%,28.6%,12.4%,13.8%,57.0%,54.2%,"83,231","109,308","49,855","72,634","349,933","$13,760",20.3,"$46,797","$25,161",16.3%,755,"6,939","269,765",0.6%,"2,301","2,798","1,549",808,186,"2,348",186,"2,500",0.0%,2.1%,0.0%,0.0%,0.0%,31.4%,12.6,"2,029.53","MONTEZUMA COUNTY, COLORADO",08083
286,COLORADO,MONTROSE COUNTY,"42,214",2.3%,"41,277","41,276",5.6%,21.6%,23.3%,50.7%,94.3%,0.7%,1.8%,0.9%,0.2%,2.1%,20.7%,75.9%,"3,369",6.7%,"19,208",70.7%,"$212,900","$1,270",$352,$859,8.7%,386,"17,125",2.38,85.7%,16.6%,84.3%,74.9%,88.8%,23.9%,11.0%,12.2%,56.1%,51.5%,"49,616","221,516","210,709","156,158","583,796","$14,335",18.3,"$48,739","$25,803",11.6%,"1,288","12,553","465,997",1.7%,"3,768","5,163","2,626","1,605",473,"4,540",551,"4,251",0.0%,0.0%,0.0%,0.0%,5.1%,29.7%,18.4,"2,240.70","MONTROSE COUNTY, COLORADO",08085
287,COLORADO,MORGAN COUNTY,"28,558",1.4%,"28,159","28,159",7.4%,26.0%,15.5%,49.5%,91.6%,3.8%,1.9%,0.8%,0.3%,1.6%,36.3%,58.1%,"1,381",13.6%,"11,850",64.3%,"$183,900","$1,313",$406,$775,14.8%,146,"10,785",2.58,82.8%,26.6%,85.1%,78.8%,80.1%,17.6%,8.4%,12.4%,63.8%,54.8%,"29,515","118,464","2,444,084",,"256,878","$9,022",18.6,"$51,626","$24,189",12.2%,697,"9,501","387,549",3.3%,"1,959","2,757","1,332",836,277,"2,300",235,"2,273",0.0%,0.0%,0.0%,0.0%,7.9%,24.1%,22.0,"1,280.43","MORGAN COUNTY, COLORADO",08087
288,COLORADO,OTERO COUNTY,"18,432",-2.1%,"18,833","18,831",6.0%,23.9%,20.4%,51.0%,90.1%,1.8%,3.7%,1.0%,0.2%,3.2%,42.1%,53.7%,"1,292",5.7%,"8,994",62.2%,"$91,900","$1,036",$339,$669,13.1%,6,"7,691",2.32,82.8%,14.0%,82.4%,70.6%,85.4%,17.7%,13.9%,10.8%,52.2%,47.7%,"22,891","50,792","75,861","94,769","213,840","$11,437",16.8,"$34,136","$20,109",20.8%,415,"4,203","136,890",-0.3%,"1,031","1,267",555,429,279,898,91,"1,076",0.0%,0.0%,0.0%,0.0%,12.1%,37.3%,14.9,"1,261.96","OTERO COUNTY, COLORADO",08089
289,COLORADO,OURAY COUNTY,"4,833",8.8%,"4,442","4,436",2.9%,15.4%,27.2%,49.4%,96.1%,0.1%,0.9%,0.8%,0.2%,2.0%,6.5%,90.4%,446,2.0%,"3,332",68.4%,"$419,900","$1,833",$470,"$1,139",10.6%,61,"2,194",2.15,88.7%,10.4%,92.8%,82.5%,98.4%,48.6%,7.2%,8.7%,60.0%,54.8%,"21,541","3,901","4,933",,"22,560","$4,980",27.0,"$62,230","$36,138",7.5%,291,"1,188","43,894",8.2%,966,"1,070",481,353,25,963,75,913,0.0%,0.0%,0.0%,0.0%,0.0%,26.5%,8.2,541.59,"OURAY COUNTY, COLORADO",08091
